proj_id,proj_name,client,budget,start_date,end_date
P001,Alpha Project,Client_A,50000,2023-01-10,2023-01-17
P002,Beta Project,Client_B,30000,2023-03-01,2023-03-08
P003,Gamma Project,Client_C,40000,2023-05-15,2023-05-22
P004,Delta Project,Client_D,45000,2023-02-10,2023-02-17
P005,Epsilon Project,Client_A,45000,2023-04-01,2023-04-07
P006,Zeta Project,Client_B,52000,2023-03-15,2023-03-22
P007,Theta Project,Client_C,48000,2023-04-01,2023-04-07
P008,Iota Project,Client_D,60000,2023-05-05,2023-05-12
P009,Kappa Project,Client_A,55000,2023-06-10,2023-06-16
P010,Lambda Project,Client_B,47000,2023-07-01,2023-07-07
P011,Mu Project,Client_C,53000,2023-03-20,2023-03-27
P012,Nu Project,Client_D,47000,2023-04-10,2023-04-17
P013,Xi Project,Client_A,60000,2023-05-15,2023-05-22
P014,Omicron Project,Client_B,55000,2023-06-05,2023-06-12
P015,Pi Project,Client_C,49000,2023-07-12,2023-07-19
P016,Rho Project,Client_D,52000,2023-03-25,2023-03-31
P017,Sigma Project,Client_A,48000,2023-04-15,2023-04-21
P018,Tau Project,Client_B,60000,2023-05-18,2023-05-25
P019,Upsilon Project,Client_C,55000,2023-06-12,2023-06-19
P020,Phi Project,Client_D,49500,2023-07-15,2023-07-21
P021,Chi Project,Client_A,53000,2023-03-28,2023-04-04
P022,Psi Project,Client_B,48500,2023-04-20,2023-04-27
P023,Omega Project,Client_C,61000,2023-05-22,2023-05-29
P024,Alpha2 Project,Client_D,55500,2023-06-15,2023-06-22
P025,Beta2 Project,Client_A,50000,2023-07-18,2023-07-25
P026,Gamma2 Project,Client_B,54000,2023-03-30,2023-04-06
P027,Delta2 Project,Client_C,49000,2023-04-22,2023-04-28
P028,Epsilon2 Project,Client_D,62000,2023-05-25,2023-06-01
P029,Zeta2 Project,Client_A,56000,2023-06-18,2023-06-23
P030,Eta2 Project,Client_B,50500,2023-07-20,2023-07-27
P031,Theta2 Project,Client_C,55000,2023-04-02,2023-04-07
P032,Iota2 Project,Client_D,49500,2023-04-25,2023-05-02
P033,Kappa2 Project,Client_A,63000,2023-05-28,2023-06-02
P034,Lambda2 Project,Client_B,57000,2023-06-20,2023-06-27
P035,Mu2 Project,Client_C,51000,2023-07-22,2023-07-28
P036,Nu2 Project,Client_D,56000,2023-04-05,2023-04-12
P037,Xi2 Project,Client_A,50000,2023-04-28,2023-05-05
P038,Omicron2 Project,Client_B,64000,2023-05-30,2023-06-06
P039,Pi2 Project,Client_C,58000,2023-06-22,2023-06-29
P040,Rho2 Project,Client_D,51500,2023-07-25,2023-08-01
P041,Sigma2 Project,Client_A,57000,2023-04-08,2023-04-14
P042,Tau2 Project,Client_B,50500,2023-05-01,2023-05-08
P043,Upsilon2 Project,Client_C,65000,2023-06-02,2023-06-09
P044,Phi2 Project,Client_D,59000,2023-06-25,2023-06-30
P045,Chi2 Project,Client_A,52000,2023-07-28,2023-08-04
P046,Psi2 Project,Client_B,58000,2023-04-10,2023-04-17
P047,Omega2 Project,Client_C,51000,2023-05-03,2023-05-10
P048,Alpha3 Project,Client_D,66000,2023-06-05,2023-06-12
P049,Beta3 Project,Client_A,60000,2023-06-28,2023-07-05
P050,Gamma3 Project,Client_B,53000,2023-07-30,2023-08-04
P051,Delta3 Project,Client_C,59000,2023-04-12,2023-04-19
P052,Epsilon3 Project,Client_D,52000,2023-05-05,2023-05-12
P053,Zeta3 Project,Client_A,67000,2023-06-07,2023-06-14
P054,Theta3 Project,Client_B,61000,2023-06-30,2023-07-07
P055,Iota3 Project,Client_C,54000,2023-08-01,2023-08-08
P056,Kappa3 Project,Client_D,60000,2023-04-15,2023-04-21
P057,Lambda3 Project,Client_A,53000,2023-05-08,2023-05-15
P058,Mu3 Project,Client_B,68000,2023-06-10,2023-06-16
P059,Nu3 Project,Client_C,62000,2023-07-01,2023-07-07
P060,Xi3 Project,Client_D,55000,2023-08-03,2023-08-10
P061,Omicron3 Project,Client_A,61000,2023-04-18,2023-04-25
P062,Pi3 Project,Client_B,54000,2023-05-10,2023-05-17
P063,Rho3 Project,Client_C,69000,2023-06-12,2023-06-19
P064,Sigma3 Project,Client_D,63000,2023-07-03,2023-07-10
P065,Tau3 Project,Client_A,56000,2023-08-05,2023-08-11
